Genome,Condition
287.33594,Resistant
287.3159,Resistant
287.1761,Resistant
287.7632,Susceptible
287.28339,Susceptible
287.34328,Susceptible
287.9392,Resistant
287.33625,Resistant
287.19567,Susceptible
287.3267,Resistant
287.34058,Susceptible
287.27131,Susceptible
287.6937,Susceptible
287.34305,Susceptible
287.31658,Resistant
287.9339,Susceptible
287.9557,Resistant
287.13707,Resistant
287.9476,Resistant
287.32667,Resistant
287.27147,Susceptible
287.10403,Susceptible
287.3424,Resistant
287.33329,Susceptible
287.27787,Resistant
287.14515,Resistant
287.13256,Susceptible
287.7988,Susceptible
287.769,Susceptible
287.2708,Susceptible
287.29805,Susceptible
287.18456,Resistant
287.28421,Susceptible
287.26009,Resistant
287.4047,Resistant
287.1172,Resistant
287.29722,Resistant
287.27227,Susceptible
287.16588,Susceptible
287.32606,Susceptible
287.3341,Susceptible
287.7283,Susceptible
287.19478,Susceptible
287.12712,Susceptible
287.1921,Susceptible
287.6336,Resistant
1231932.3,Susceptible
287.17886,Susceptible
287.30245,Resistant
287.16946,Susceptible
287.34243,Resistant
287.31202,Susceptible
287.27127,Susceptible
287.7791,Susceptible
287.27078,Susceptible
287.19672,Susceptible
287.3368,Resistant
287.27785,Resistant
287.9291,Susceptible
287.9362,Resistant
287.12652,Resistant
287.18504,Resistant
287.1588,Resistant
287.9512,Susceptible
287.16537,Resistant
287.17906,Resistant
287.33659,Susceptible
287.12655,Resistant
287.31134,Resistant
287.9443,Susceptible
287.8551,Resistant
287.29828,Susceptible
287.17505,Resistant
287.27784,Resistant
287.33621,Susceptible
287.14503,Susceptible
287.11102,Susceptible
287.7368,Resistant
287.10019,Resistant
287.25859,Resistant
287.34352,Resistant
287.9193,Susceptible
287.7052,Susceptible
287.19373,Susceptible
287.7916,Resistant
287.8547,Resistant
287.28569,Susceptible
287.34094,Susceptible
287.1847,Resistant
287.34054,Susceptible
287.33747,Resistant
287.9461,Resistant
287.8925,Susceptible
287.16851,Resistant
287.14845,Resistant
287.17507,Susceptible
287.17993,Susceptible
287.33408,Susceptible
287.7772,Resistant
287.6799,Resistant
287.12531,Resistant
287.18306,Susceptible
287.2778,Resistant
287.18704,Susceptible
287.9809,Susceptible
287.34048,Susceptible
287.8015,Susceptible
287.924,Resistant
287.1659,Susceptible
287.27135,Susceptible
287.31207,Susceptible
